class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,datar,halus,coklat,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,datar,berserat,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
beracun,cembung,halus,putih,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,cembung,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,halus,abu-abu,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,halus,putih,tidak,tidak ada,bebas,padat,lebar,merah muda,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,cembung,halus,merah muda,tidak,kreosot,bebas,padat,sempit,abu-abu,membesar,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,putih,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,berserat,berserat,putih,putih,parsial,putih,satu,menghilang,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat tua,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
beracun,cembung,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
beracun,datar,halus,putih,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,rumput
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,berserat,berserat,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,abu-abu,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat tua,meruncing,rata,berserat,berserat,putih,putih,parsial,putih,satu,menghilang,coklat,tersebar,rumput
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,halus,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,berserat,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,halus,putih,tidak,tidak ada,bebas,padat,lebar,coklat tua,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,melimpah,rumput
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,coklat,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,abu-abu,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
bisa dimakan,cembung,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,putih,meruncing,berumbi,halus,halus,abu-abu,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,berserat,coklat,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,hitam,soliter,hutan
bisa dimakan,cembung,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,abu-abu,parsial,putih,satu,menjuntai,coklat,soliter,hutan
